ds,y
2018-10-19 15:00:00,-1.2
2018-10-26 21:00:00,8.13
2018-11-03 15:00:00,-42.03
2018-11-09 22:00:00,-5.96
2018-11-16 22:00:00,19.01
2018-11-24 16:00:00,16.81
2018-11-30 22:00:00,23.98
2018-12-15 15:00:00,-3.55
2018-12-21 20:00:00,-4.56
2018-12-28 20:00:00,-6.3
2019-01-11 19:00:00,8.36
2019-01-13 19:00:00,-41.31
2019-01-17 22:00:00,0.55
2019-01-25 22:00:00,11.15
2019-02-01 22:00:00,12.33
2019-02-08 22:00:00,10.16
2019-02-15 21:00:00,-31.35
2019-02-21 22:00:00,-2.51
2019-02-28 19:00:00,43.56
2019-03-08 22:00:00,0.7
2019-03-15 21:00:00,1.38
2019-03-22 21:00:00,0.15
2019-03-29 21:00:00,10.16
