ds,y
2018-10-19 15:00:00,33.2
2018-10-26 21:00:00,35.13
2018-11-03 15:00:00,42.03
2018-11-09 22:00:00,35.96
2018-11-16 22:00:00,39.01
2018-11-24 16:00:00,46.81
2018-11-30 22:00:00,43.98
2018-12-15 15:00:00,33.55
2018-12-21 20:00:00,44.56
2018-12-28 20:00:00,36.3
2019-01-11 19:00:00,38.36
2019-01-13 19:00:00,41.31
2019-01-17 22:00:00,45.55
2019-01-25 22:00:00,41.15
2019-02-01 22:00:00,32.33
2019-02-08 22:00:00,30.16
2019-02-15 21:00:00,35.35
2019-02-21 22:00:00,42.51
2019-02-28 19:00:00,41.56
2019-03-08 22:00:00,30.7
2019-03-15 21:00:00,41.38
2019-03-22 21:00:00,40.15
2019-03-29 21:00:00,41.16
