ds,y
2018-10-19 15:00:00,20.2
2018-10-26 21:00:00,25.13
2018-11-03 15:00:00,0.03
2018-11-09 22:00:00,30.96
2018-11-16 22:00:00,22.01
2018-11-24 16:00:00,15.81
2018-11-30 22:00:00,35.98
2018-12-15 15:00:00,0.55
2018-12-21 20:00:00,24.56
2018-12-28 20:00:00,20.3
2019-01-11 19:00:00,25.36
2019-01-13 19:00:00,22.31
2019-01-17 22:00:00,0.55
2019-01-25 22:00:00,26.15
2019-02-01 22:00:00,29.33
2019-02-08 22:00:00,21.16
2019-02-15 21:00:00,25.35
2019-02-21 22:00:00,-2.51
2019-02-28 19:00:00,4.56
2019-03-08 22:00:00,28.7
2019-03-15 21:00:00,22.38
2019-03-22 21:00:00,30.15
2019-03-29 21:00:00,25.16
